Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
305205,-9172,4136,-12020,2093,-2172,-1327,-189
305214,-9276,4100,-11784,2093,-2273,-1235,-172
305223,-9332,3800,-11864,2093,-2381,-1192,-147
305232,-9564,3184,-11628,2093,-1823,-1174,-106
305241,-9712,2804,-11460,2093,-801,-1126,-62
305250,-9644,3068,-11496,2093,585,-1184,-42
305259,-9212,3984,-11476,2093,1493,-1148,15
305268,-8888,4712,-11460,2093,1593,-1186,48
305277,-8808,5424,-11400,2099,1096,-1158,74
305286,-8784,5628,-11448,2098,-125,-1108,130
305295,-9148,5476,-11332,2089,-1415,-1091,166
305304,-9248,4848,-11340,2089,-2364,-1027,183
305313,-9708,4356,-10920,2089,-2687,-971,229
305322,-10084,4132,-10956,2089,-2307,-1029,250
305331,-9880,4220,-10980,2089,-1917,-929,333
305340,-9748,5556,-11376,2089,-1701,-934,322
305349,-9776,5588,-10568,2089,-1320,-1008,347
305358,-10356,4840,-12416,2094,-1243,-1068,356
305367,-10240,4888,-12040,2096,-1055,-1052,352
305376,-9800,4864,-11508,2096,-1012,-975,394
305385,-9952,4516,-12120,2093,-1047,-1088,430
305394,-9940,4748,-11900,2093,-839,-1010,453
305403,-9720,4908,-11356,2093,-727,-943,484
305412,-9372,4832,-11244,2093,-819,-902,494
305421,-9232,5088,-11136,2093,-1067,-717,512
305430,-9424,5052,-11020,2093,-1073,-575,510
305439,-9764,4780,-11516,2093,-781,-436,512
305448,-9952,4608,-12108,2093,-626,-299,530
305457,-9940,4460,-12140,2096,-409,-264,493
305466,-9700,4328,-12000,2095,-328,-139,502
305475,-9400,4256,-11952,2095,-137,-85,472
305484,-9376,4288,-11696,2095,334,-8,447
305493,-9360,4456,-11952,2095,708,150,436
305502,-9184,4616,-11856,2095,1114,154,396
305511,-9072,4592,-12024,2095,1449,278,349
305520,-8952,4772,-12388,2095,1884,279,317
305529,-9080,4764,-12428,2095,2230,271,268
305538,-9188,4668,-12212,2091,2109,327,276
305547,-9360,4252,-12144,2096,2087,270,240
305556,-9744,3812,-12108,2093,2297,326,257
305565,-10056,3520,-12236,2089,2813,295,256
305574,-9600,3352,-12020,2089,3539,253,262
305583,-9296,3728,-12216,2089,4171,227,303
305592,-9208,3920,-12204,2089,4812,137,294
305601,-9480,4088,-12524,2089,5151,159,331
305610,-9912,4196,-12628,2089,5567,48,320
