Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
283,0,0,0,0,0,0,0
294,-340,-452,17076,2735,5616,-2169,-1931
303,-256,-580,18200,2716,2559,-876,-1437
312,-440,852,17632,2704,4604,-159,-668
321,-256,3836,17556,2685,4071,-176,-666
330,-528,3872,16984,2676,2239,-222,-707
339,-216,4652,17232,2660,-289,-140,-748
348,-204,4708,16800,2648,-2910,-123,-815
357,-252,3544,18248,2640,-4504,-167,-875
366,60,1572,16528,2625,-5090,-189,-877
375,-228,-260,17860,2618,-3687,-305,-854
384,-112,96,17656,2618,-1923,-313,-772
393,-176,-288,17140,2618,134,-408,-757
402,-196,-236,17136,2618,1960,-391,-655
411,-532,636,17684,2618,3502,-485,-633
420,-148,3072,17020,2618,3628,-476,-618
429,0,3056,17164,2618,2606,-483,-665
438,0,4780,16932,2618,723,-459,-700
447,196,4644,16080,2545,-1479,-338,-760
456,60,3440,17328,2535,-3236,-306,-798
465,304,2768,16604,2535,-4173,-222,-779
474,36,1656,17232,2535,-4042,-258,-783
483,192,-52,16448,2535,-2699,-174,-710
492,60,-160,17264,2535,-939,-196,-676
501,212,648,16304,2535,640,-109,-618
510,64,228,17216,2535,2100,-163,-653
519,112,1248,17088,2535,3084,-95,-604
528,228,3340,16804,2535,2580,-68,-605
537,180,3556,16904,2487,1381,-20,-680
546,136,3452,17124,2485,-296,18,-692
555,192,3856,16484,2486,-1829,57,-723
564,308,3276,17224,2486,-3061,173,-745
573,156,1980,17272,2486,-3531,96,-785
582,68,380,17172,2486,-2681,147,-699
591,-104,644,17332,2486,-1244,120,-692
600,-264,152,17296,2486,325,124,-632
609,-140,224,17348,2486,1681,92,-576
618,336,1768,17584,2486,2419,34,-583
627,-292,3028,17468,2455,1703,110,-554
636,24,2916,17256,2448,711,21,-628
645,76,3220,17316,2449,-613,113,-611
654,-152,3028,17192,2449,-1735,65,-669
663,4,2708,17820,2449,-2502,92,-673
672,-456,1804,17488,2449,-2655,18,-672
681,-448,752,17796,2449,-1528,-3,-640
690,-352,472,17028,2449,-130,-40,-568
699,-224,1052,17756,2449,1238,-126,-526
708,20,2212,17364,2422,1630,-125,-485
717,148,2872,17368,2419,1170,-219,-492
726,436,3192,16840,2418,227,-180,-460
735,-124,3140,17172,2422,-664,-252,-493
744,28,2832,17136,2422,-1619,-190,-520
753,28,2452,17052,2422,-2172,-271,-517
762,-236,1636,17136,2422,-2148,-240,-509
771,-92,732,17288,2422,-1183,-254,-476
780,-8,764,17060,2422,0,-221,-425
789,-8,1152,16828,2422,1059,-248,-393
798,240,2148,17040,2422,1322,-233,-340
807,328,2520,16960,2400,764,-182,-340
816,40,2828,16752,2398,24,-139,-381
825,104,2564,16664,2397,-919,-81,-394
834,20,2472,16964,2397,-1624,-54,-452
843,128,1916,16672,2397,-2189,31,-461
852,44,840,16928,2397,-1765,0,-488
861,-36,544,16816,2397,-802,62,-422
870,-12,672,16948,2397,412,4,-428
879,220,1248,16856,2397,1278,57,-366
888,-80,2512,17008,2386,1362,7,-372
897,-328,2788,16896,2384,703,68,-316
906,-116,2916,17116,2382,-181,46,-355
915,-308,2668,16936,2378,-1082,102,-344
