Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
2511,-13872,-5356,-1092,2037,463,4873,-2137
2520,-15052,-5556,-224,2080,330,4957,-2453
2529,-15864,-5456,1464,2094,-153,4842,-2878
2538,-15348,-3344,1016,2200,-520,4879,-3260
2547,-15628,-3304,928,2299,-768,5194,-3732
2556,-17232,-4780,1104,2264,-1005,5418,-4172
2565,-19232,-4400,1020,2311,-1630,5470,-4713
2664,-19784,-6004,4932,2331,-16542,6564,-14576
2673,-19828,-6360,5328,2007,-18356,6781,-15722
2682,-20908,-7268,4836,1796,-19694,6798,-16782
2691,-22036,-6740,4820,1793,-20738,6909,-17793
2700,-22664,-7836,5072,1658,-21505,6952,-18817
2709,-23432,-8668,4792,1577,-22135,6846,-19737
2718,-23816,-9200,4108,1474,-23028,6832,-20557
2727,-23740,-8756,3472,1594,-24382,6811,-21457
2736,-23860,-8856,3168,1485,-25855,6798,-22370
2745,-23792,-9856,1496,1465,-26334,6454,-23031
2844,-12648,-12088,-14168,1407,-10972,2971,-21531
2853,-15320,-13668,-20192,1207,-12162,2229,-21016
2862,-15020,-17580,-18056,1290,-16491,964,-20363
2871,-14236,-14936,-19876,1217,-18419,-104,-19414
2880,-13556,-22640,-18988,1366,-18744,-1686,-18709
2889,-11748,-30952,-21180,1238,-12657,-3710,-17364
2898,-10048,-32768,-19960,1195,-2327,-6061,-15602
2907,-8424,-32768,-20664,1206,9979,-9060,-13709
2916,-5184,-32200,-18424,1207,20782,-12579,-11829
2925,-3016,-28748,-17572,1176,27970,-16243,-9952
3024,18412,4624,-9016,1170,32767,-29741,17620
3033,17452,7824,-8356,1170,32767,-27121,19635
3042,15960,9904,-6096,1170,32767,-24077,21013
3051,14036,10740,-3988,1170,32767,-20720,21702
3060,11776,10420,-3364,1311,32767,-17541,21852
3069,8968,9484,-2480,1160,28099,-14456,21532
3078,5664,7808,-2660,1174,23034,-11530,20851
3087,2708,5768,-1012,1130,19051,-8693,19941
3096,340,3688,-1084,1119,16412,-6375,18997
3105,-2152,2108,-864,1166,14387,-3857,17847
3204,-15668,-2104,8516,1162,2112,8461,6885
3213,-17060,-3380,7660,1162,1296,8204,6176
3222,-18156,-2284,7580,1162,1281,8018,5733
3231,-19144,-1356,7676,1490,1368,8060,5376
3240,-20192,-1192,7452,1593,1160,8037,5078
3249,-21036,-1024,6336,1498,727,8093,4783
3258,-20524,-944,6880,1591,98,8371,4426
3267,-19736,-3256,8156,1565,-458,8712,3957
3276,-18728,-3788,8448,1689,-1113,9106,3413
3285,-17348,-6284,7360,1599,-2306,9565,2730
3384,-21372,-4380,-612,1600,-2974,10419,-2167
3393,-21452,-8148,1752,1,-4863,10362,-2768
3402,-21548,-7408,1920,1,-6231,10473,-3444
3411,-21864,-7900,2316,2,-7042,10347,-4013
3420,-23308,-5684,2536,3,-7459,10308,-4396
3429,-23216,-4908,268,3,-7946,10194,-4567
3438,-22116,-1260,-124,3,-8705,10454,-4708
3447,-22384,-3448,2128,0,-8204,10557,-4763
3456,-22924,-2336,420,3,-6896,10711,-4454
3465,-22364,-5404,252,2,-6320,10783,-4243
3564,-18316,-7552,-448,1,-705,9868,-809
3573,-19060,-9624,-1724,2387,-761,9678,-832
3582,-18084,-10220,-1224,2473,-675,9514,-729
3591,-17752,-9300,-3656,2476,-1985,9326,-851
