Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
295,0,0,0,0,0,0,0
306,1996,-6864,15924,2787,5237,-4113,-2348
315,2056,-6488,16360,2773,1190,-3499,-2254
324,1904,-5532,16348,2762,1983,-2643,-1815
333,1912,-5088,16056,2749,1210,-2740,-2034
342,2052,-5460,16104,2736,86,-2772,-2208
351,2288,-6212,16396,2722,-351,-2889,-2385
360,2752,-6476,16692,2709,-223,-2855,-2489
369,2528,-6044,16260,2697,-165,-2907,-2614
378,2512,-5944,16296,2683,-205,-3050,-2775
387,2652,-6708,16192,2681,-139,-3055,-2851
396,3012,-7236,15984,2681,295,-3178,-2916
405,2924,-6716,15972,2681,567,-3262,-2947
414,2960,-6516,16236,2681,210,-3325,-2969
423,2856,-6444,16248,2681,-194,-3511,-3009
432,2888,-6184,16100,2681,-759,-3586,-2990
441,3304,-6248,15924,2681,-1264,-3733,-2983
450,2828,-6088,15860,2681,-1555,-3872,-3009
459,3200,-6436,16164,2681,-1632,-3907,-2940
468,3672,-6316,16168,2533,-1301,-4068,-2958
477,3864,-6132,16592,2534,-857,-4106,-2890
486,4036,-6044,16448,2534,-754,-4096,-2830
495,3660,-5396,16048,2534,-1088,-4237,-2821
504,3656,-5236,15948,2534,-1829,-4235,-2753
513,3700,-5376,15812,2534,-2313,-4364,-2724
522,4084,-5652,16068,2534,-2352,-4398,-2700
531,4248,-5660,16036,2534,-2355,-4421,-2626
540,4284,-5172,15860,2534,-2445,-4453,-2651
549,4804,-5124,16352,2534,-2651,-4455,-2640
558,4812,-5000,16212,2354,-2917,-4405,-2689
567,5004,-5348,15996,2356,-2894,-4440,-2745
576,5064,-5700,16136,2356,-2662,-4351,-2726
585,4680,-5436,15724,2356,-2294,-4346,-2753
594,5496,-5868,15632,2356,-1704,-4286,-2790
603,5780,-5668,15500,2356,-1480,-4209,-2768
612,5560,-5196,15176,2356,-1619,-4246,-2814
621,5656,-5224,15216,2356,-2137,-4188,-2810
630,5568,-5268,15568,2356,-2756,-4181,-2809
639,5284,-5060,15704,2356,-3352,-4172,-2835
648,5472,-5536,15428,2178,-3859,-4069,-2830
657,5152,-5764,15304,2171,-3958,-4094,-2882
666,5352,-6068,15096,2171,-3671,-4009,-2886
675,5508,-6424,15124,2171,-3292,-3951,-2867
684,5572,-6176,14452,2171,-2864,-3957,-2911
693,5800,-6364,14352,2171,-2415,-3842,-2891
702,6168,-6580,14456,2171,-1649,-3811,-2933
711,6376,-6588,14800,2171,-718,-3680,-2924
720,6184,-6072,14820,2171,-429,-3479,-2949
729,6620,-5216,14920,2171,-888,-3408,-3024
738,7200,-5368,15092,2033,-1701,-3191,-3096
747,7172,-6204,15124,2031,-1983,-3023,-3178
756,7196,-6704,14796,2031,-1378,-2749,-3271
765,7680,-7248,14848,2031,-280,-2411,-3298
774,7628,-7152,15128,2031,1006,-2150,-3317
783,7292,-6364,14872,2031,1644,-1826,-3328
792,6904,-5864,14616,2031,1412,-1598,-3376
801,7060,-5812,14416,2031,823,-1414,-3441
810,7000,-5984,14020,2031,292,-1144,-3489
819,7160,-6816,13400,2031,747,-986,-3564
828,7916,-7832,13492,1927,2532,-757,-3584
837,7928,-8148,13936,1930,4688,-445,-3527
846,7604,-6224,14276,1930,6056,-226,-3570
855,7232,-4808,13064,1930,5520,12,-3594
864,6976,-4020,12820,1930,3618,113,-3698
873,6716,-4572,12692,1930,1735,144,-3834
882,6944,-5648,12260,1930,1217,315,-3864
891,7108,-6764,12288,1930,2535,427,-3891
900,7364,-7304,12932,1930,4644,703,-3890
909,7640,-6576,13152,1930,6445,919,-3909
918,7324,-4848,12928,1845,6977,1116,-3971
927,6948,-3476,13076,1841,6080,1356,-4056
936,6368,-3140,13460,1841,4686,1520,-4217
945,5852,-3428,13668,1841,3519,1775,-4343
954,5832,-4020,13392,1841,3023,2034,-4464
963,5396,-4088,13232,1841,2964,2217,-4589
972,4952,-3256,12756,1841,2427,2445,-4693
981,4512,-2884,12844,1841,1505,2539,-4879
990,4496,-2892,13184,1841,968,2667,-5070
999,4536,-3404,14004,1786,994,2961,-5210
1008,4512,-3788,14524,1780,1745,3113,-5402
1017,4216,-3480,14976,1776,2357,3402,-5533
1026,3572,-2800,14536,1776,2258,3602,-5697
1035,3484,-2628,14868,1776,1782,3708,-5866
1044,3420,-2732,15128,1776,914,3855,-5965
1053,3304,-2508,15416,1776,-197,3923,-6118
1062,2940,-1992,15708,1776,-1618,4038,-6245
1071,2928,-2012,16164,1776,-2937,4221,-6348
1080,3164,-2804,16464,1776,-3125,4325,-6506
1089,3264,-3472,16508,1776,-2185,4537,-6609
1098,3548,-3692,16528,1724,-721,4734,-6681
1107,3656,-3276,16348,1728,651,4840,-6766
1116,3784,-2364,15608,1728,994,4829,-6826
1125,4140,-1600,14912,1728,503,4744,-6970
1134,4888,-2028,14620,1728,66,4537,-7083
1143,5652,-2944,14640,1728,131,4422,-7072
1152,6264,-3180,14888,1728,902,4185,-7102
1161,7040,-3252,15188,1728,2048,4059,-7095
1170,7468,-2776,16132,1728,3077,3956,-7134
1179,7624,-1956,16840,1728,3571,3817,-7210
1188,7952,-1264,16764,1682,3271,3792,-7284
1197,8148,-1272,16748,1683,3128,3714,-7409
1206,8312,-1776,17148,1683,3552,3630,-7468
1215,8320,-1944,17268,1683,4197,3627,-7518
1224,8292,-1604,17112,1683,4782,3488,-7574
1233,8184,-1364,16848,1683,4835,3437,-7553
1242,7776,-1512,16796,1683,4627,3295,-7516
1251,7488,-1968,16484,1683,4673,3092,-7431
1260,7268,-2688,16644,1683,5151,2981,-7258
1269,6744,-2796,16292,1683,6013,2776,-7049
1278,6496,-2584,15968,1646,6819,2559,-6793
1287,6328,-2568,15976,1645,7659,2325,-6533
1296,6504,-2564,15892,1645,8839,1961,-6274
1305,6544,-2124,15980,1645,9975,1767,-6017
1314,6848,-1692,16624,1645,10984,1498,-5755
1323,7008,-460,17336,1645,11395,1203,-5541
1332,6848,836,17680,1645,10584,1061,-5345
1341,6668,2076,17748,1645,8902,843,-5202
1350,6396,2820,17772,1645,6868,601,-5108
1359,6292,2516,17984,1645,5299,492,-5005
1368,6208,1888,18192,1610,5131,300,-4924
1377,6056,1468,18868,1612,6304,186,-4797
1386,6008,1612,19516,1612,8157,117,-4693
