Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
1462,5520,-6392,14800,1,-6843,-3721,-2609
1471,5320,-6940,14644,1,-8140,-3529,-2511
1480,5408,-8220,14748,1,-8207,-3475,-2481
1489,5172,-9296,14168,1,-6660,-3246,-2348
1498,4872,-9700,13820,1,-4051,-3274,-2287
1507,4288,-9064,14284,1,-1598,-3116,-2145
1516,4216,-8144,14280,1,-218,-3082,-2086
1525,4204,-6896,13652,2,-433,-2860,-1930
1534,4532,-6164,13712,2,-2006,-2758,-1870
1543,4888,-6536,13928,4,-3974,-2505,-1760
1552,5060,-7696,13592,4,-4906,-2398,-1659
1561,4864,-8884,13288,4,-4283,-2237,-1492
1570,4788,-9512,13368,4,-2462,-2214,-1365
1579,4460,-8996,13304,4,-517,-2034,-1178
1588,4708,-8008,12808,4,781,-2043,-1065
1597,5112,-7300,12372,4,812,-1881,-870
1606,5340,-6688,12312,4,-128,-1879,-750
1615,6032,-6444,12320,2,-1769,-1715,-552
1624,6252,-6940,12188,4,-3044,-1780,-407
1633,6160,-8472,12096,2,-3355,-1621,-198
1642,6152,-9360,12216,2,-2470,-1654,1
1651,5972,-9112,12064,2,-1217,-1521,207
1660,5216,-8540,11720,2,-302,-1525,389
1669,5608,-8096,11556,2,-106,-1431,547
1678,5964,-7136,11492,2,-496,-1443,637
1687,6576,-6688,11924,2,-1560,-1277,763
1696,6584,-7112,11920,2,-2810,-1245,784
1705,6492,-7744,11776,3,-3664,-1096,933
1714,6504,-8576,11820,3,-3669,-1091,999
1723,6440,-9612,12032,0,-2677,-984,1109
1732,6212,-10172,11568,0,-870,-996,1189
1741,6228,-9860,11756,0,702,-903,1324
1750,6300,-9720,12076,0,1501,-870,1397
1759,6144,-9148,12096,0,1499,-680,1523
1768,6596,-8620,11656,0,899,-728,1585
1777,6580,-8316,11832,0,-340,-539,1672
1786,6404,-8708,12192,2,-1284,-524,1702
1795,6044,-9256,11692,3,-1493,-399,1757
1804,6492,-9860,11844,2,-880,-394,1773
1813,6284,-10200,12124,1,243,-304,1826
1822,6296,-9452,11928,1,1363,-424,1798
1831,6668,-8740,11848,1,1431,-330,1790
1840,6612,-7896,11692,1,708,-401,1737
1849,6696,-8180,12072,1,-332,-318,1709
1858,6456,-9052,12356,1,-1118,-386,1668
1867,6316,-9704,12572,1,-1590,-301,1654
1876,5868,-10448,12448,3,-1132,-365,1622
1885,5492,-10488,12508,2,-376,-275,1608
1894,5616,-9900,12672,2,230,-331,1527
1903,5768,-9760,12740,5,99,-200,1495
1912,5532,-9664,12736,5,-215,-220,1390
1921,5648,-9676,13328,5,-492,-119,1324
1930,5632,-10572,13464,5,-153,-81,1212
1939,5288,-10300,13224,5,158,0,1124
1948,5148,-8972,12868,5,-360,15,993
1957,5176,-8448,13316,5,-1823,112,869
1966,5148,-9628,13452,2,-2969,102,735
1975,5144,-10884,13088,3,-2650,215,674
1984,5384,-11380,12836,4,-976,166,557
1993,5696,-11324,13252,2,827,195,540
2002,6128,-10456,13116,2,1708,162,488
2011,6204,-9796,12844,2,1397,180,468
2020,6000,-9416,12772,2,237,255,527
2029,6024,-9684,13360,2,-803,254,526
2038,5976,-10760,13444,2,-1257,341,623
2047,6104,-11020,13000,2,-625,296,661
2056,6080,-10944,13056,2,314,407,751
2065,5960,-10440,13296,3,1281,362,801
2074,5816,-9796,13112,2,1296,454,876
2083,5856,-9268,12664,0,932,460,910
2092,5948,-9420,12700,0,464,566,981
2101,5960,-9568,13004,0,342,511,1021
2110,5816,-9316,12752,0,181,581,1073
2119,5928,-9296,12704,0,316,568,1067
2128,5992,-9336,12984,0,369,614,1177
2137,6032,-9108,12796,0,530,526,1175
2146,5792,-8856,12292,1,-121,642,1241
2155,5596,-8760,12540,2,-1055,559,1221
2164,5588,-9196,12572,2,-1968,638,1299
2173,5588,-9208,12428,1,-2136,539,1280
2182,5532,-9184,12408,1,-2040,536,1309
2191,5212,-9140,12404,1,-1805,479,1233
2200,5392,-8616,12460,1,-1957,509,1193
2209,5580,-8284,12304,1,-2650,473,1106
2218,5276,-8400,12256,1,-3298,487,1031
2227,5544,-8648,12212,1,-3859,425,888
2236,5260,-8856,12388,4,-3846,483,818
2245,5252,-9088,12120,3,-3552,460,677
2254,5296,-9232,11968,3,-3148,531,579
2263,5136,-9732,12556,1,-2944,429,455
2272,5144,-7968,12648,1,-3824,595,372
2281,5156,-9156,12268,1,-4496,651,300
2290,5304,-10488,12116,1,-4025,728,277
2299,5496,-10616,12492,1,-2883,731,217
2308,5348,-10568,12376,1,-1713,793,204
2317,5568,-10028,12568,1,-1395,860,226
2326,6088,-9720,12712,2,-1949,967,225
2335,6236,-10040,12648,3,-3097,1046,281
2344,6512,-10620,12780,2,-3779,1131,362
2353,6468,-11504,12608,2,-3566,1212,464
2362,6296,-12200,12180,2,-2521,1195,565
2371,6656,-11872,12248,2,-1564,1253,699
2380,6728,-11812,12304,2,-635,1224,830
2389,6612,-11712,11852,2,188,1285,948
2398,6688,-11248,11544,2,1098,1253,1062
2407,6816,-10208,11452,2,1000,1286,1162
2416,6660,-9100,11116,2,-157,1282,1229
