Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
695989,-128,468,17436,805,-394,156,-707
695998,-208,580,17300,812,-395,166,-714
696007,-180,644,17468,807,-346,127,-743
696106,-224,464,17528,809,-355,81,-739
696115,-204,448,17420,808,-438,100,-691
696124,-256,388,17476,811,-394,54,-692
696133,-272,496,17456,810,-398,37,-711
696142,-312,348,17576,805,-372,47,-680
696151,-224,340,17456,809,-438,37,-675
696160,-224,372,17500,812,-400,-11,-686
696169,-184,320,17392,807,-362,-45,-716
696178,-220,396,17456,805,-411,13,-681
696187,-240,336,17484,808,-394,17,-690
696286,-308,324,17332,805,-297,-95,-733
696295,-364,308,17328,810,-313,-74,-690
696304,-324,232,17348,808,-357,-12,-662
696313,-252,392,17320,805,-332,-78,-660
696322,-164,468,17268,808,-299,-103,-699
696331,-80,356,17300,807,-286,-22,-667
696340,-100,376,17260,806,-324,-57,-676
696349,-240,364,17336,811,-264,-114,-675
696358,-212,324,17388,813,-280,-69,-670
696367,-252,348,17580,809,-347,-46,-684
696466,44,412,17428,811,-357,-147,-632
696475,-72,396,17568,805,-413,-97,-632
696484,-36,368,17564,808,-466,-117,-612
696493,-12,348,17272,808,-414,-129,-659
696502,-272,384,17448,812,-366,-101,-633
696511,-20,620,17524,812,-506,-81,-641
696520,-100,496,17368,811,-455,-89,-645
696529,-40,544,17376,808,-444,-101,-646
696538,-120,588,17664,809,-499,-53,-611
696547,-36,324,17472,809,-521,-56,-597
696646,-72,500,17352,805,-516,61,-520
696655,-80,260,17292,808,-459,25,-540
696664,-76,380,17388,807,-545,128,-507
696673,-52,340,17236,814,-495,108,-533
696682,64,160,17468,810,-470,92,-554
696691,-196,340,17600,811,-500,136,-520
696700,8,168,17508,809,-482,137,-484
696709,8,288,17500,811,-494,111,-553
696718,-204,392,17676,812,-474,114,-533
696727,-72,320,17400,808,-499,167,-509
696826,-284,328,17372,811,-466,157,-496
696835,-244,296,17628,809,-472,119,-516
696844,-204,448,17344,809,-433,67,-512
696853,-244,376,17340,814,-474,132,-486
696862,-252,412,17396,809,-475,120,-496
696871,-292,196,17416,807,-455,64,-500
696880,-288,476,17620,809,-445,77,-515
696889,-268,356,17436,808,-491,141,-477
696898,-304,368,17384,805,-471,79,-527
696907,-368,444,17360,811,-407,50,-526
697006,-112,364,17344,809,-413,77,-516
697015,-272,492,17332,808,-373,38,-520
697024,-240,384,17468,807,-366,91,-523
697033,-288,348,17216,810,-433,118,-508
697042,-208,364,17404,809,-393,15,-534
697051,-328,408,17184,809,-342,63,-532
