Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
2707,-8852,24812,-392,815,16978,4304,-9155
2716,-8852,26184,-1536,812,17933,4471,-9447
2725,-8696,26716,-2872,809,16842,4806,-9719
2734,-8988,26200,-3260,809,15216,5272,-10014
2743,-9316,24868,-3132,814,15128,5781,-10336
2752,-9892,25716,-4712,822,15418,6315,-10788
2761,-9144,26672,-5792,826,15443,6714,-11539
2860,744,8580,-3864,822,22974,9140,-23574
2869,2236,6612,-3928,838,23333,8853,-24293
2878,3428,4108,-3940,838,24293,8336,-24707
2887,4316,2940,-4716,839,25033,7738,-25064
2896,4436,2088,-4528,839,24705,6988,-25266
2905,4152,2116,-4724,841,23045,6226,-25162
2914,3256,2536,-4464,843,20414,5412,-24967
2923,2780,2384,-3648,840,17495,4531,-24659
2932,1876,3076,-2948,847,14259,3683,-24122
2941,1648,2860,-2180,847,10915,2950,-23377
3040,-10096,1932,1936,848,-2200,-7715,-10907
3049,-10884,-1792,104,848,-560,-7843,-10232
3058,-12960,440,-1636,805,2012,-8550,-9064
3067,-12528,3156,-2312,782,1373,-8551,-8348
3076,-14056,5560,-2692,780,134,-8589,-7643
3085,-13732,4472,-4312,779,-2034,-8773,-7023
3094,-13024,2804,-3784,788,-3495,-8636,-6470
3103,-13460,6208,-1692,790,-5103,-9306,-5726
3112,-13684,3204,-2492,792,-5536,-9022,-5126
3121,-14340,2876,-4720,794,-5536,-9124,-4451
3220,-16104,6300,-88,791,-4232,-12043,-333
3229,-16624,5476,516,814,-2961,-12424,140
3238,-16744,5080,956,826,-1912,-12559,634
3247,-17224,3244,852,812,-1378,-12724,1087
3256,-16660,5428,2472,804,-1216,-13022,1376
3265,-15168,3764,1420,811,-1232,-13317,1535
3274,-16624,5096,2720,812,-1526,-13229,1654
3283,-17232,5480,3840,812,-1551,-13239,1745
3292,-16952,6628,3844,837,-1840,-13141,1683
3301,-16212,7384,4472,888,-2103,-12937,1558
3400,-23012,2904,3476,834,-3442,-12805,1631
3409,-23148,1860,4796,835,-4549,-12530,1479
3418,-21320,408,4320,835,-4916,-12368,1236
3427,-19124,-1892,5804,846,-4100,-12273,938
3436,-17960,-756,7536,835,-2601,-12102,687
3445,-18676,1856,6300,839,-1851,-11732,252
3454,-17500,2536,6392,844,-405,-11405,-100
3463,-15868,1544,3456,842,941,-11373,-238
3472,-17604,2948,4304,841,1444,-11270,-268
3481,-18744,4540,4900,848,1882,-11355,-272
3580,-17224,6728,8240,847,625,-10114,150
3589,-17936,7924,8044,856,505,-9878,248
3598,-18084,7632,7600,941,391,-9744,326
3607,-16784,7008,7728,881,185,-9617,470
3616,-15664,6204,7292,869,88,-9361,593
3625,-14600,4728,7156,881,163,-9358,633
3634,-14092,2816,7492,892,250,-9365,645
3643,-15384,2800,6992,874,187,-9280,724
3652,-17896,5080,6328,866,174,-9097,783
3661,-20108,6720,6396,870,378,-8995,963
3760,-25928,5384,-4640,869,-17241,-11454,13268
3769,-26204,4908,-800,874,-20921,-11290,14335
3778,-26892,3556,640,903,-23873,-11082,15349
3787,-30196,5332,1104,887,-26269,-10741,16142
3796,-29772,4864,1084,885,-27976,-10354,16875
3805,-29948,4248,184,874,-28977,-9882,17519
3814,-28932,2908,-280,876,-28904,-9267,18045
3823,-28904,-260,-572,872,-26963,-8835,18600
3832,-28248,-144,5016,873,-24173,-8530,19214
3841,-26612,-1712,3956,869,-20041,-7633,19748
3940,-14608,14688,30128,871,-21748,-2083,25191
3949,-15588,25724,29788,838,-31565,-456,24647
3958,-16988,20900,29632,903,-32768,1885,23577
3967,-17308,16624,32767,2,-30978,4208,22264
3976,-16096,12684,32767,2,-17274,7231,20693
3985,-10784,8456,32767,2,2210,11173,19192
3994,-2136,9800,29744,2,22641,15951,17710
4003,6700,12080,26616,3,32767,21071,16252
4012,11768,15280,20116,1004,32767,26466,14759
4021,13896,15940,14064,776,32767,31533,12840
4120,9380,-4580,404,777,32767,32767,-21707
4129,8144,-7192,-1228,2,32767,29644,-22589
