Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
625065,2816,-4632,17144,1569,-2852,1111,-754
625074,3152,-4300,17084,1569,-765,1258,-793
625083,3068,-2396,17008,1569,617,1459,-743
625092,3508,-2156,16244,1569,916,1583,-881
625101,3672,-2512,16208,1569,325,1599,-773
625110,3276,-2136,16352,1569,-932,1670,-627
625119,2752,-1912,16448,1569,-2420,1644,-513
625128,2324,-2316,16752,1569,-3825,1660,-365
625137,1896,-3048,17064,1569,-4587,1684,-242
625146,1792,-3756,17400,1568,-4068,1599,-203
625155,1752,-3244,17532,1568,-2832,1640,-226
625164,1624,-2532,17464,1568,-2048,1585,-320
625173,1272,-2220,17132,1568,-2587,1687,-516
625182,888,-1956,16688,1568,-4403,1620,-590
625191,736,-1508,16356,1568,-7389,1541,-386
625200,868,-1592,15888,1568,-11005,1430,-189
625209,608,-2416,16148,1568,-14138,1190,70
625218,856,-3660,16208,1568,-15909,1166,255
625227,968,-4664,16196,1568,-16198,1026,321
625236,1008,-5080,16336,1569,-15713,920,400
625245,1068,-5368,16240,1569,-15473,902,534
625254,1148,-6024,16284,1569,-15192,773,620
625263,1472,-6736,16316,1569,-14450,742,808
625272,1840,-7216,15872,1569,-13118,709,879
625281,2236,-7212,15040,1569,-12045,674,897
625290,2352,-7336,14896,1569,-12142,742,860
625299,2460,-7328,14252,1569,-13096,702,937
625308,2152,-6740,13672,1569,-15030,669,1081
625317,1300,-6364,12824,1569,-18336,672,1329
625326,1116,-7232,12888,1570,-21605,501,1664
625335,1412,-8524,14064,1567,-23170,385,2151
625344,1448,-9504,14956,1567,-22411,289,2480
625353,1132,-9912,15104,1567,-19026,121,2593
625362,624,-9480,14900,1567,-16065,129,2488
625371,-140,-9756,14508,1567,-14022,223,1947
625380,-708,-9680,14012,1567,-12913,166,1711
625389,-1040,-8764,13584,1567,-14158,157,1628
625398,-1032,-7956,13280,1567,-17550,13,1746
625407,-848,-8276,12832,1567,-22200,-150,2016
625416,-484,-9276,12440,1568,-26346,-279,2278
625425,-120,-10796,11884,1566,-28797,-608,2612
