Time(ms),AccX,AccY,AccZ,ADC,GyroX,GyroY,GyroZ
344116,616,-72,17184,399,-344,118,-543
344125,668,104,17076,400,-354,171,-515
344134,352,-424,17296,392,-368,135,-514
344143,692,-236,16920,399,-338,132,-502
344152,556,108,17280,404,-286,227,-476
344161,456,-520,17252,397,-309,247,-458
344170,280,-164,17448,408,-308,237,-444
344179,340,168,17328,409,-293,210,-424
344188,264,-324,17560,401,-323,262,-394
344197,324,-196,17488,403,-329,191,-386
344206,528,-376,17548,388,-355,168,-388
344215,508,-164,17796,388,-451,246,-340
344224,552,-344,17456,388,-340,131,-399
344233,360,-680,17760,388,-350,210,-382
344242,352,-272,17172,388,-418,209,-347
344251,436,-620,18064,388,-372,179,-404
344260,536,24,17456,388,-325,199,-337
344269,176,-516,17696,388,-279,258,-306
344278,452,-188,17604,388,-413,272,-288
344287,444,40,17612,396,-259,216,-273
344386,-16,-400,17648,397,-346,356,-133
344395,-84,-192,17852,404,-380,343,-133
344404,-104,-400,17816,402,-289,322,-130
344413,-136,-164,17732,395,-291,432,-114
344422,-196,-444,17908,397,-332,462,-114
344431,-300,-308,17888,398,-285,443,-126
344440,-232,-232,17664,396,-257,454,-101
344449,-240,-364,18264,401,-322,524,-96
344458,-440,-320,17836,402,-322,444,-104
344467,-760,-556,18192,399,-345,502,-98
344566,-1104,-324,18184,400,-439,590,-168
344575,-1164,-344,17776,403,-394,523,-223
344584,-1400,-524,18484,401,-401,521,-225
344593,-1184,-320,17792,405,-487,505,-264
344602,-1316,-420,18328,401,-441,484,-299
344611,-1272,-328,17924,400,-474,483,-293
344620,-1392,-584,18120,401,-539,463,-341
344629,-1200,-484,17776,401,-511,394,-394
344638,-1236,-536,18192,400,-517,381,-413
344647,-1388,-656,17744,401,-620,360,-410
344746,-1036,-596,17096,395,-655,-8,-752
344755,-1108,-404,17196,394,-634,-53,-793
344764,-1068,-568,17216,395,-655,-5,-788
344773,-1080,-716,17360,396,-689,-90,-865
344782,-1012,-444,16964,400,-628,-151,-872
344791,-1136,-676,17076,394,-689,-102,-873
344800,-836,-632,16796,401,-706,-201,-934
344809,-880,-444,17040,394,-626,-258,-949
344818,-836,-540,16640,398,-674,-210,-953
344827,-692,-468,16628,401,-681,-280,-999
344926,160,-400,16548,400,-588,-515,-1075
344935,260,-304,16500,404,-571,-501,-1095
344944,368,-336,16684,402,-655,-485,-1090
344953,204,-332,16692,402,-598,-564,-1068
344962,268,-256,16852,397,-579,-577,-1089
344971,640,-80,16612,398,-600,-526,-1038
344980,616,-488,16648,406,-601,-525,-1042
344989,548,-252,16332,401,-572,-608,-1047
344998,728,-60,16828,406,-528,-560,-995
345007,884,-368,16380,403,-540,-534,-1012
345016,704,-176,16480,399,-527,-578,-1026
345025,980,124,16680,399,-402,-530,-990
345034,936,-176,16772,399,-447,-499,-953
345043,864,-124,16672,399,-412,-510,-915
345052,960,-152,17020,399,-349,-488,-905
345061,1116,-212,17020,399,-394,-430,-844
345070,1048,-264,17084,399,-346,-461,-830
345079,924,-224,17180,399,-307,-416,-812
345088,992,-236,17208,399,-384,-384,-765
345097,1124,-252,17344,398,-320,-377,-802
345196,676,148,17956,402,-215,-68,-475
345205,584,276,17828,398,-188,-43,-463
345214,388,292,18076,398,-135,-59,-427
345223,356,268,18212,401,-172,11,-382
345232,460,208,18172,394,-179,21,-368
345241,376,372,18336,398,-135,28,-361
345250,332,248,18124,400,-177,80,-311
345259,312,116,18244,399,-186,58,-297
345268,284,264,18140,392,-166,94,-286
345277,164,172,18124,396,-209,150,-254
345376,-268,-88,17912,395,-319,513,-86
345385,-320,-132,17868,398,-258,518,-70
345394,-428,-172,18148,394,-326,575,-69
345403,-412,-156,17688,395,-359,603,-75
345412,-488,-60,17944,398,-328,586,-133
345421,-632,-112,17836,395,-291,614,-104
345430,-464,-216,17684,398,-399,657,-108
345439,-676,-252,17824,396,-398,627,-112
345448,-996,-232,17900,403,-330,633,-131
345457,-972,-400,17632,402,-414,690,-94
345556,-1288,-768,17292,393,-468,430,-356
345565,-1344,-740,17328,395,-465,390,-381
345574,-1096,-780,17116,399,-507,404,-399
345583,-1268,-892,17228,403,-512,359,-462
345592,-1264,-784,17112,398,-439,300,-481
345601,-1176,-720,16808,402,-494,332,-491
345610,-1048,-720,17244,398,-525,278,-492
345619,-1216,-620,17092,397,-463,204,-562
345628,-1104,-624,17100,398,-468,203,-548
345637,-944,-796,17044,406,-489,227,-535
345736,-580,-468,17052,397,-440,-131,-744
345745,-532,-488,16852,402,-364,-176,-736
345754,-380,-440,17020,398,-414,-169,-715
345763,-508,-420,16924,397,-417,-153,-730
345772,-480,-392,16884,395,-384,-268,-743
345781,-380,-352,17052,403,-318,-264,-762
345790,-384,-376,16864,401,-386,-250,-762
345799,-244,-316,17144,396,-339,-315,-795
345808,-228,-356,17172,394,-295,-397,-786
345817,-124,-304,17144,399,-374,-358,-760
345916,332,-188,17052,409,-252,-609,-758
345925,384,-212,17032,408,-292,-529,-689
345934,380,-332,17160,409,-261,-556,-652
345943,368,-212,17020,407,-194,-536,-659
345952,412,-388,17388,402,-223,-471,-645
345961,332,-324,17080,401,-260,-486,-643
345970,372,-148,17424,402,-200,-474,-660
345979,372,-364,17124,401,-251,-383,-640
345988,344,-188,17436,405,-287,-419,-643
345997,492,-252,17224,401,-241,-386,-678
346006,464,-236,17448,399,-256,-323,-643
346015,424,-148,16956,399,-326,-294,-647
346024,404,-148,17260,399,-258,-278,-651
346033,448,-232,17128,399,-217,-246,-599
346042,420,-188,17484,399,-298,-125,-597
346051,456,-148,17336,399,-250,-161,-604
